name,glottocode,lon,lat
Aari,aari1239,36.531611272841346,6.129186418429914
'Abābda,abab1239,28.203801098072013,26.834051825000046
Gabadi,abad1241,146.94119055562052,-9.002364881887239
Abaga,abag1245,148.16764643968332,-8.324865288869049
Abaga,abag1245,145.68700658976832,-6.099198964256496
Abai Sungai,abai1240,118.35095593988981,5.663906942993323
Abau,abau1245,141.1178968950443,-4.141115524880773
Abayongo,abay1238,8.231397354081832,5.9493960897468785
Abey,abee1242,-4.272212846650964,6.092066204042682
Abenlen Ayta,aben1249,120.18077656392379,15.437952355151854
Abiji,abid1235,-4.578544557271037,5.618981069058687
Abini,abin1242,8.288477174442823,5.791872093221473
Abipón,abip1241,-59.40698391594694,-27.277399828349083
Tekiraka,abis1238,-74.9453449565985,-1.559002981227883
Abkhaz,abkh1244,41.57562534942066,42.86733112535074
Abkhaz,abkh1244,40.83061497632609,43.27650956044889
Abron,abro1238,-3.1641050905276824,7.460836403961764
Abua,abua1244,27.1913446859298,1.963357619844686
Abua,abua1244,6.611889001373504,4.976425525419537
Abui,abui1241,124.60288347190705,-8.29673266947013
"Karon Pantai, Madik",abun1252,132.09934134164237,-0.6541880051289426
Abure,abur1243,-3.5447085249924757,5.307061391758813
Adjora (Adjoria),abuu1241,144.52182544458014,-4.25292055199023
Achang,acha1249,98.10963511308759,25.633834021817997
Achang,acha1249,98.486454725426,25.91186315398859
Achawa,acha1250,-72.60698235043873,2.9611479195384147
Achawa,acha1250,-70.75872813560359,3.0921602993630204
Achawa,acha1250,-70.99962096691176,3.6056608620589654
Achawa,acha1250,-72.93229826664717,4.001205481372637
Achawa,acha1250,-72.5531990829161,4.733183508491137
Achawa,acha1250,-70.04587330010273,7.569740579940117
Guayakí,ache1246,-55.330316134943224,-25.905030864969476
Guayakí,ache1246,-55.80518977555002,-24.36938939135883
Acehnese,achi1257,97.91055266890646,2.3268781352131507
Acehnese,achi1257,97.66103254977926,2.80455074843064
Acehnese,achi1257,96.10648938600085,4.496059475000061
Acehnese,achi1257,95.14637411713436,5.630011297500057
Acehnese,achi1257,95.08545396868652,5.709418036000072
Acehnese,achi1257,95.31695214663057,5.848415432000078
Achumawi,achu1247,-121.2639638437488,41.15724808250004
"Achol, Acholi",acol1236,32.38968478417338,3.117085040516047
Acoma,acom1246,-107.55841934911618,34.79442416850005
Akroá,acro1239,-46.02401062564505,-10.949064404479861
Adai,adai1235,-93.67896759931415,31.29110795550005
Adangme,adan1247,-0.11052735992071086,6.2856173445609835
Adangme,adan1247,-0.1139420177005752,6.728676217207797
Adangme,adan1247,0.0806579889733473,6.7392457589504895
Adasen,adas1235,120.99840238166824,17.857244792069444
Adele (Sedere),adel1244,0.6289183609644131,8.211823822023625
Adhola,adho1243,33.942524457708586,0.759155246107392
Adie,adie1238,9.973442402047148,3.5294398951066004
Adim,adim1238,8.338202272905537,5.908440542534905
Ajukru,adio1239,-4.58809732830556,5.36479091265042
Adyghe (West Circassian),adyg1241,39.40491570603666,44.02139013763973
Adzera,adze1240,146.26394303713957,-6.327286774663094
Aera,aeka1244,147.90190003637852,-8.626967228805473
Awin,aeky1238,141.41630108195034,-5.999023781613394
Afa'da [Afa'de],afad1236,14.550047760394078,12.329694862339029
Afar,afar1241,41.43323264584099,12.62530763827364
Ashraaf,afas1238,45.46020004382332,2.2765770525000426
Dinik,afit1238,31.416955735400723,12.768910899953982
Afrikaans,afri1274,18.905104042727285,-33.740980726999936
Afrikaans,afri1274,18.534466734653165,-31.400763259111258
Afrikaans,afri1274,17.78325933850286,-30.267431459890723
Afrikaans,afri1274,19.002202415812064,-29.54080337378618
Afrikaans,afri1274,20.727237284255803,-27.706157940298056
Afrikaans,afri1274,30.12789513690926,-27.607061650708047
Afrikaans,afri1274,27.870025365012623,-26.266794827034687
Afrikaans,afri1274,28.597935839852546,-25.871562286881172
Afrikaans,afri1274,29.9720892895556,-25.56618259080745
Afrikaans,afri1274,17.05890049788679,-22.688131110867886
Afro-Seminole Creole,afro1254,-101.7323946185737,28.612770147500044
Aghem,aghe1239,10.103267466800485,6.4711921049230305
Aghem,aghe1239,9.940995049914047,6.683751569620444
Agul,aghu1253,47.623262863188785,41.839403236052135
Aghu,aghu1255,140.13006267632068,-6.072343448346134
Agi,agii1245,142.4116123938705,-3.4829020516164633
Agöb (Dabu),agob1245,142.5281522171672,-8.999428175269678
"Awakateko, Aguacatec, Aguateco, Awakateko",agua1252,-91.21433377723515,15.387117698438566
"Awakateko, Aguacatec, Aguateco, Awakateko",agua1252,-91.35194550460426,15.386369679813352
Awaruna,agua1253,-77.89271867160494,-4.540384734326212
Agusan Manobo,agus1235,125.60808976153538,8.684971120147388
Agutaynon,agut1237,119.15920697130346,10.57416413000007
Agutaynon,agut1237,119.27844338253263,10.843349514000057
Agutaynon,agut1237,119.27793666772195,10.988633530500064
Agutaynon,agut1237,119.61078216160965,11.051865952500062
Agutaynon,agut1237,119.59303306175437,11.16388580950007
Agutaynon,agut1237,119.34991206741134,11.221828517500054
Agutaynon,agut1237,119.67143065227103,11.29592519750005
Agutaynon,agut1237,119.73396927045583,11.019232489000046
Agutaynon,agut1237,119.67984011582121,11.052313543500045
Agutaynon,agut1237,119.68789003197926,11.10079580250007
Agutaynon,agut1237,120.95920136248945,11.152492580000049
Agutaynon,agut1237,120.68292488576529,11.305283921500061
Agutaynon,agut1237,120.8341241151476,11.434475002000053
Agwagune,agwa1247,8.17148798075505,5.800282201678817
Ahanta,ahan1243,-2.0092549516845617,4.903723559841981
